AlleleID,GeneSymbol,model,prompt_class,llm_class,confidence,acmg_rules,references,parse_error,time_s,notes
4800853,TMEM216,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;BP4,"Richards et al., Genet Med, 2015",,2.64,
727787,LAMA1,deepseek-v4-pro,Benign,Uncertain significance,0.6,PM2_Supporting;PP3,"Richards S et al., Genet Med, 2015;Karczewski KJ et al., Nature, 2020;Aldinger KA et al., Nat Genet, 2014",,55.11,
1523506,PISD,kimi-k2.6,Benign,Uncertain significance,0.3,,,,3.16,
1523506,PISD,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,2.07,
34345,SLC17A5,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PM1;PM2;PM3;PP3,"Verheijen FW et al., Nat Genet, 1999 (PMID: 10581036);Aula N et al., Am J Hum Genet, 2000 (PMID: 10947946)",,77.13,
414256,BMPR2,kimi-k2.6,Pathogenic,Pathogenic,0.75,PS1;PM2;PP2;PP3,"Harrison et al., Am J Respir Crit Care Med, 2006; Machado et al., N Engl J Med, 2006; Evans et al., Hum Mutat, 2006; Morisaki et al., Circulation, 2004",,7.66,
414256,BMPR2,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3;BP4,"Lane KB, et al. Am J Hum Genet, 2000;Machado RD, et al. Hum Mutat, 2006;Richards S, et al. Genet Med, 2015",,2.47,
4800853,TMEM216,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PS4;PM2,"Shaheen R, et al., J Med Genet, 2011;gnomAD",,69.99,
1159771,MSN,deepseek-v4-pro,Benign,Pathogenic,0.9,PS3;PM2;PP3,"Lagresle-Peyrou C et al., J Allergy Clin Immunol, 2016 (PMID: 27742287)",,80.93,
565687,CD27,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, Genet Med, 2015; Oza V, Hum Mutat, 2018",,5.04,
565687,CD27,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"van Montfrans JM, et al. CD27 deficiency is associated with combined immunodeficiency and persistent symptomatic EBV viremia. J Allergy Clin Immunol. 2012;129(3):787-793.e6.;Alkhairy OK, et al. Spectrum of phenotypes associated with mutations in the CD27 gene. J Clin Immunol. 2015;35(6):563-572.",,2.56,
101855,SELENON,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2017;Ohtsuka M, et al., Neuromuscul Disord, 2019",,6.39,
101855,SELENON,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.3,
1523506,PISD,deepseek-v4-pro,Benign,Pathogenic,0.95,PS1;PM1;PM2;PS3;PP3,"Girisha KM et al., Am J Hum Genet, 2019, PMID: 31303217",,65.64,
349532,JAK3,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015",,4.27,
349532,JAK3,deepseek-chat,Benign,Likely benign,0.85,BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424;Silva et al. Hum Mutat. 2014;35(8):909-917",,2.58,
414256,BMPR2,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PS4;PM1;PM2;PP3;PP4,"Rudarakanchana N et al., Am J Respir Crit Care Med, 2002, 165:1053-1058;Machado RD et al., Hum Mutat, 2006, 27:121-129",,75.13,
101855,SELENON,deepseek-v4-pro,Benign,Pathogenic,0.95,PS1;PM1;PM2;PP2;PP3,"Ferreiro A et al., Am J Hum Genet, 2002;Moghadaszadeh B et al., Nat Genet, 2001;ClinVar at NIH",,41.93,
102012,GNPTAB,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Genet Med, 2015",,1.72,
102012,GNPTAB,kimi-k2.6,Benign,Benign,0.95,BA1;BS1,"Richards S, Genet Med, 2015; Oza VD, Hum Mutat, 2018",,5.34,
4910185,GHR,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1_Strong;PM2,"ACMG Standards and Guidelines for the Interpretation of Sequence Variants, Richards et al., Genet Med, 2015",,3.75,
4910185,GHR,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP3,"Amselem et al., N Engl J Med, 1989;Rosenbloom et al., Endocr Rev, 1999;Woods et al., J Clin Endocrinol Metab, 1996",,2.49,
565687,CD27,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"van Montfrans JM et al., J Allergy Clin Immunol, 2012",,80.65,
1158817,ATRN,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015",,4.79,
1158817,ATRN,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards et al., Genet Med, 2015",,4.44,
102012,GNPTAB,deepseek-v4-pro,Benign,Likely benign,0.9,BP4;BP7,"Richards et al., Genet Med, 2015, PMID: 25741868",,39.5,
349532,JAK3,deepseek-v4-pro,Benign,Pathogenic,0.95,PS3;PM2;PM3;PP3;PP4,"Mella P, Imberti L, Brugnoni D, et al. Blood. 2001;98(11):3252-3256.",,68.61,
39959,CTC1,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2_supporting;PP3_moderate,"Anderson BH, et al. Am J Hum Genet, 2012;Keller RB, et al. Am J Hum Genet, 2012",,2.67,
39959,CTC1,kimi-k2.6,Pathogenic,Uncertain significance,0.3,,"Sasa GS, et al. Hum Mutat. 2012;33:1707-1714;Anderson BH, et al. Nat Genet. 2012;44:770-774;Richards S, et al. Genet Med. 2015;17:405-424",,6.24,
4910185,GHR,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM1;PM2,Richards S et al. Genet Med. 2015;17(5):405-24;OMIM 262500 LARON SYNDROME,,44.03,
4964575,CRELD1,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015; Kodo K, et al., Hum Mutat, 2009",,6.42,
4964575,CRELD1,deepseek-chat,Pathogenic,Pathogenic,0.9,PVS1;PM2_supporting,"Rope AF, et al. Am J Hum Genet, 2009 (CRELD1 in atrioventricular septal defect);Guimier A, et al. Am J Hum Genet, 2020 (CRELD1 in recessive lethal disorder)",,2.58,
3886920,PYGB,kimi-k2.6,Benign,Uncertain significance,0.2,,"ACMG/AMP Sequence Variant Interpretation Guidelines, Genet Med, 2015",,4.36,
3886920,PYGB,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,2.07,
1158817,ATRN,deepseek-v4-pro,Benign,Uncertain significance,0.3,,"Richards S, Aziz N, Bale S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-424.",,32.78,
704434,RNF213,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, et al., Genet Med, 2015; ACMG Sequence Variant Interpretation Working Group",,4.2,
704434,RNF213,deepseek-chat,Benign,Likely benign,0.85,BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.9,
39959,CTC1,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PM1;PM2;PM3_Strong;PP3,"ClinVar VCV000030204;Anderson BH et al., Nat Genet, 2012, PMID: 22267198",,41.32,
4967658,BRCA2,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PM2_Supporting,"Richards S, Genet Med, 2015; ACMG/AMP sequence variant interpretation guidelines;Eggington JM, Front Genet, 2014; BRCA2 loss-of-function mechanism in HBOC;BRCA2; NCBI ClinVar database, accessed 2024",,7.76,
4967658,BRCA2,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strength,"Richards et al., Genet Med, 2015;Rebbeck et al., Hum Mutat, 2018",,2.23,
4964575,CRELD1,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Robinson SW et al., Am J Hum Genet, 2003;Karczewski KJ et al., Nature, 2020",,43.14,
704434,RNF213,deepseek-v4-pro,Benign,Uncertain significance,0.1,,,,20.1,
372289,STT3A,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.04,
3886920,PYGB,deepseek-v4-pro,Benign,Pathogenic,0.9,PM1;PM2;PP3;PP5,Veiga-da-Cunha M et al. Ann Neurol 2019,,39.45,
372289,STT3A,kimi-k2.6,Benign,Uncertain significance,0.3,,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015",,4.48,
1158563,ARHGEF1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.55,
1158563,ARHGEF1,kimi-k2.6,Benign,Benign,0.85,BP4;BP7,"ACMG Standards and Guidelines for the interpretation of sequence variants, Richards et al., Genet Med, 2015;Sherry ST, Ward MH, Kholodov M, et al. dbSNP: the NCBI database of genetic variation. Nucleic Acids Res, 2001",,7.59,
101894,HCN1,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015;Nilsen A, et al., Epilepsia, 2016",,3.88,
101894,HCN1,deepseek-chat,Benign,Pathogenic,0.85,PVS1;PM2;PM4;PP3,"Nava C, et al. Epilepsia, 2014;Marini C, et al. Neurology, 2018",,2.45,
4967658,BRCA2,deepseek-v4-pro,Pathogenic,Pathogenic,0.99,PVS1;PM2,"Richards S, Aziz N, Bale S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-424.;Fackenthal JD, Olopade OI. Breast cancer risk associated with BRCA1 and BRCA2 in diverse populations. Nat Rev Cancer. 2007;7(12):937-948.",,22.76,
372289,STT3A,deepseek-v4-pro,Benign,Likely benign,0.9,BP4;BP7,"Richards et al., Genetics in Medicine, 2015, 10.1038/gim.2015.30",,21.82,
1155537,PRDM13,kimi-k2.6,Benign,Uncertain significance,0.2,,"Richards S, Genet Med, 2015;Oza V, Hum Mutat, 2018",,4.64,
1155537,PRDM13,deepseek-chat,Benign,Uncertain significance,0.4,PM4;PP3,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,3.9,
4986059,ERCC8,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Rapin et al., Am J Med Genet A, 2006;Laugel et al., Hum Mutat, 2008;Fischer et al., Am J Hum Genet, 2012",,7.55,
4986059,ERCC8,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Laugel V, et al. Am J Hum Genet. 2010;86(4):577-592;Henning KA, et al. Cell. 1995;82(4):555-564",,2.34,
1158563,ARHGEF1,deepseek-v4-pro,Benign,Uncertain significance,0.5,,"Richards S et al., Genetics in Medicine, 2015",,59.91,
4855734,RFX6,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_supporting,"Mitchell J et al, Am J Hum Genet, 2004; Smith SB et al, Proc Natl Acad Sci U S A, 2010; Richards S et al, Genet Med, 2015 (ACMG guidelines)",,7.86,
4855734,RFX6,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Smith SB, et al. Nature Genetics, 2000;Sellick GS, et al. Nature Genetics, 2004",,1.93,
4986059,ERCC8,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2;PP5,"Richards S et al., Genet Med, 2015;Laugel V et al., Hum Mutat, 2010;ClinVar, 2024",,40.58,
20116,CHST6,kimi-k2.6,Pathogenic,Uncertain significance,0.3,,"El-Achkar et al., Am J Ophthalmol, 2010;Klintworth, Orphanet J Rare Dis, 2009",,5.33,
20116,CHST6,deepseek-chat,Pathogenic,Uncertain significance,0.6,PM2;PP3,"Akama et al., Nature Genetics, 2000;Nanda et al., Human Mutation, 2005",,2.46,
1155537,PRDM13,deepseek-v4-pro,Benign,Benign,0.9,BA1;BS1;BP6,"gnomAD v3.1 (high allele frequency);ClinVar, multiple submitters (benign)",,79.29,
101894,HCN1,deepseek-v4-pro,Benign,Likely benign,0.85,BS1;BP3,ClinVar Variation ID 599076;gnomAD v2.1.1,,88.24,
254029,HEPACAM,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards et al., Genet Med, 2015",,2.17,
254029,HEPACAM,kimi-k2.6,Benign,Benign,0.95,BA1;BP4;BP7,"Richards S, Genet Med, 2015; Oza V, Hum Mutat, 2018",,5.92,
1156902,TCTN1,kimi-k2.6,Benign,Likely benign,0.85,BP4;BP7,"Richards S, Genet Med, 2015;Tang S, Hum Mutat, 2020",,4.76,
1156902,TCTN1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards et al., Genet Med, 2015",,1.92,
4855734,RFX6,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Smith et al., Nature Genetics, 2010, PMID: 20148032;Richards et al., Genetics in Medicine, 2015, PMID: 25741868",,46.96,
20116,CHST6,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PM3;PM1;PM2;PP3;PP5,"Akama TO, et al. Nat Genet. 2001;29(2):229-34. PMID: 11552097",,40.52,
2025785,MAST1,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,4.17,
2025785,MAST1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4,"Richards et al., Genet Med, 2015",,2.0,
4934135,IRF6,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Kondo et al., Nat Genet, 2002; Anderson et al., Am J Hum Genet, 2002; Richards et al., Genet Med, 2015",,5.09,
4934135,IRF6,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2_supporting,"Kondo S, et al. Nat Genet. 2002;32(2):285-289;Leslie EJ, et al. Am J Hum Genet. 2016;99(3):750-755",,2.43,
4934135,IRF6,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Kondo S, et al., Nature Genetics, 2002, 32(2):285-9.",,17.32,
2025785,MAST1,deepseek-v4-pro,Benign,Uncertain significance,0.2,,"Richards et al., Genet Med, 2015",,34.57,
3132845,PIGN,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015;Mayr JA, et al., Am J Hum Genet, 2017",,8.14,
3132845,PIGN,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2;PVS1_Strong,"Maydan G, et al. Am J Hum Genet. 2011;88(6):729-740;Kvarnung M, et al. J Med Genet. 2018;55(5):303-313",,2.56,
182930,CDKN2A,kimi-k2.6,Pathogenic,Uncertain significance,0.3,,"Richards S, Genet Med, 2015; Oztas M, Hum Mutat, 2016",,7.73,
182930,CDKN2A,deepseek-chat,Pathogenic,Pathogenic,0.85,PM2;PM4;PVS1_Moderate;PP3,"Goldstein AM, et al. High-risk melanoma susceptibility genes and pancreatic cancer risk. J Natl Cancer Inst. 2006;98(11):782-793.;Borg A, et al. Novel germline p16 mutation in familial malignant melanoma in southern Sweden. Cancer Res. 1996;56(11):2497-2500.;Holland EA, et al. CDKN2A mutations in familial melanoma: a comprehensive analysis of 380 individuals. Hum Mutat. 1999;14(2):164-175.",,3.4,
1156902,TCTN1,deepseek-v4-pro,Benign,Uncertain significance,0.65,PM2;BP4,"Richards et al., Genet Med, 2015, 17:405-424",,62.8,
3132845,PIGN,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Maydan et al., Orphanet J Rare Dis, 2011;Fleming et al., Am J Hum Genet, 2016",,21.4,
442171,NOTCH3,deepseek-chat,Pathogenic,Pathogenic,0.95,PS1;PM1;PM2;PP3;PP5,"Joutel A, et al. Nature, 1996;Razvi SS, et al. J Neurol Neurosurg Psychiatry, 2005;Chabriat H, et al. Lancet Neurol, 2009",,2.38,
442171,NOTCH3,kimi-k2.6,Pathogenic,Pathogenic,0.95,PS1;PM1;PM2;PP2;PP3,"Joutel et al., Nature, 1996; Chabriat et al., Lancet Neurol, 2009; Rutten et al., Hum Mutat, 2013",,6.82,
254029,HEPACAM,deepseek-v4-pro,Benign,Pathogenic,0.99,PVS1;PM2;PP3;PP5,"López-Hernández T, et al. Am J Hum Genet. 2011;88(4):422-432.",,81.12,
1457753,NF1,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Messiaen LM, et al., Human Mutation, 2000;Fahsold R, et al., American Journal of Human Genetics, 2000",,2.34,
1457753,NF1,kimi-k2.6,Pathogenic,Pathogenic,0.99,PVS1;PM2_Supporting,"ACMG Standards and Guidelines for the Interpretation of Sequence Variants, Richards et al., Genet Med, 2015;NF1-related neurofibromatosis type 1, Friedman JM, GeneReviews, 1998-2023",,6.82,
714022,ADSS1,kimi-k2.6,Benign,Uncertain significance,0.1,,"Richards S, Genet Med, 2015;Oza V, Hum Mutat, 2018",,4.41,
714022,ADSS1,deepseek-chat,Benign,Uncertain significance,0.7,PM2;BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424",,2.21,
714022,ADSS1,deepseek-v4-pro,Benign,Uncertain significance,0.5,,,,20.29,
4962479,MDGA2,kimi-k2.6,Pathogenic,Pathogenic,0.85,PVS1;PM2,"Richards S, Genet Med, 2015;Oza V, Hum Mutat, 2018",,4.25,
4962479,MDGA2,deepseek-chat,Pathogenic,Uncertain significance,0.4,PVS1,"Lek M, et al. Nature, 2016 (gnomAD);Karczewski KJ, et al. Nature, 2020 (gnomAD v2.1)",,2.29,
182930,CDKN2A,deepseek-v4-pro,Pathogenic,Pathogenic,0.95,PS3;PS4;PM1;PM2;PP3;PP5,"Ruas M, Peters G. Biochim Biophys Acta, 1998;Goldstein AM et al. J Natl Cancer Inst, 2006;Harland M et al. J Med Genet, 2001;ClinVar RCV000010234",,77.73,
442171,NOTCH3,deepseek-v4-pro,Pathogenic,Pathogenic,0.99,PM1;PM2;PP2;PP3;PS4,Joutel A et al. Nature. 1996;383(6602):707-10. PMID: 8878478.;ClinVar RCV000074678 and associated submissions.,,70.77,
508803,MAP3K1,kimi-k2.6,Benign,Benign,0.85,BA1;BP4;BP7,"Richards S, Genet Med, 2015; ACMG/AMP Sequence Variant Interpretation Guidelines",,4.95,
508803,MAP3K1,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards S, et al. Genet Med. 2015;17(5):405-424;Silva et al. Hum Mutat. 2019;40(7):899-909",,2.75,
1156682,KCNQ1,kimi-k2.6,Benign,Uncertain significance,0.1,,"Richards S, et al., Genet Med, 2015 (PMID: 23731468)",,6.8,
1156682,KCNQ1,deepseek-chat,Benign,Uncertain significance,0.5,,"Richards S, et al. Genet Med. 2015;17(5):405-424.",,2.14,
508803,MAP3K1,deepseek-v4-pro,Benign,Uncertain significance,0.5,,"Richards S, Aziz N, Bale S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-424.",,23.51,
1457753,NF1,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Richards et al., Genet Med, 2015;Abou Tayoun et al., Hum Mutat, 2018;Wallace et al., Science, 1990",,91.91,
655619,SLC25A46,deepseek-chat,Benign,Likely benign,0.85,BP4;BP7,"Richards S, et al. Standards and guidelines for the interpretation of sequence variants. Genet Med. 2015;17(5):405-424.",,2.17,
655619,SLC25A46,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, et al., Genet Med, 2015 (PMID: 25741868)",,4.32,
4875177,TTLL5,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, Genet Med, 2015; Ogiwara et al., Am J Hum Genet, 2015 (TTLL5 and retinal dystrophy)",,5.94,
4875177,TTLL5,deepseek-chat,Pathogenic,Pathogenic,0.9,PVS1;PM2_supporting,"Sergouniotis et al., Am J Hum Genet, 2014;Bedoni et al., Invest Ophthalmol Vis Sci, 2016",,2.2,
1156682,KCNQ1,deepseek-v4-pro,Benign,Pathogenic,0.9,PS3;PM2;PP1;PP3,"Crotti L, et al., Circulation, 2012;Tester DJ, et al., Heart Rhythm, 2007",,46.76,
4962479,MDGA2,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Satterstrom FK et al., Cell, 2020, 180(3):568-584;Yuen RK et al., Eur J Hum Genet, 2015, 23(11):1538-1544",,89.54,
4961884,MYOCD,deepseek-chat,Pathogenic,Pathogenic,0.95,PVS1;PM2,"Richards et al., Genet Med, 2015",,1.69,
655619,SLC25A46,deepseek-v4-pro,Benign,Likely benign,0.85,BP7;BP4,"Richards S, et al. Genet Med. 2015;17(5):405-424.",,37.36,
4961884,MYOCD,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Richards S, et al., Genet Med, 2015, PMID: 25741868; Ounzain S, et al., Circ Res, 2012, PMID: 22394503",,7.56,
711923,FOCAD,deepseek-chat,Benign,Uncertain significance,0.6,PM2;BP4;BP7,"Richards et al., Genet Med, 2015",,1.9,
711923,FOCAD,kimi-k2.6,Benign,Uncertain significance,0.3,,"Richards S, Aziz N, Bale S, et al. Standards and guidelines for the interpretation of sequence variants: a joint consensus recommendation of the American College of Medical Genetics and Genomics and the Association for Molecular Pathology. Genet Med. 2015;17(5):405-424.",,7.47,
702255,GUCY2C,kimi-k2.6,Benign,Uncertain significance,0.3,,,,2.63,
4875177,TTLL5,deepseek-v4-pro,Pathogenic,Pathogenic,0.9,PVS1;PM2,"Sergouniotis PI, et al., Am J Hum Genet, 2014",,38.37,
702255,GUCY2C,deepseek-chat,Benign,Uncertain significance,0.6,PM2;PP3,"Richards et al., Genet Med, 2015",,1.86,
4967735,AGA,kimi-k2.6,Pathogenic,Pathogenic,0.95,PVS1;PM2_Supporting,"Santavuori et al., American Journal of Human Genetics, 1995; Park et al., Human Mutation, 1993; ACMG Standards and Guidelines, Richards et al., 2015",,6.74,
4967735,AGA,deepseek-chat,Pathogenic,Pathogenic,0.99,PVS1;PM2;PVS1_Strong,"Ikonen E, et al. Nature Genetics, 1991;Aronson NN Jr, et al. Journal of Biological Chemistry, 1994",,2.39,
711923,FOCAD,deepseek-v4-pro,Benign,Pathogenic,0.95,PS3;PS4;PM2;PP1,"Reis et al., Am J Hum Genet, 2021;ClinVar VCV000977946.2",,45.44,
